
8 45 0.923029
8 46 0.909797
8 47 0.894355
8 48 0.876799
8 49 0.857242
8 50 0.835811
8 51 0.812646
8 52 0.787898
8 53 0.761725
8 54 0.734295
8 55 0.705779
8 56 0.676348
8 57 0.646174
8 58 0.615427
8 59 0.584270
8 60 0.552858
8 61 0.521339
8 62 0.489850
8 63 0.458515
8 64 0.427448
8 65 0.396746
8 66 0.366493
8 67 0.336757
8 68 0.307591
8 69 0.279032
8 70 0.251098
8 71 0.223794
8 72 0.197107
8 73 0.171010
8 74 0.145463
8 75 0.120410
8 76 0.095786
8 77 0.071519
8 78 0.047524
8 79 0.023715

9 1 0.026402
9 2 0.052914
9 3 0.079648
9 4 0.106706
9 5 0.134187
9 6 0.162181
9 7 0.190766
9 8 0.220006
9 9 0.249952
9 10 0.280638
9 11 0.312080
9 12 0.344275
9 13 0.377201
9 14 0.410818
9 15 0.445066
9 16 0.479866
9 17 0.515122
9 18 0.550720
9 19 0.586531
9 20 0.622411
9 21 0.658202
9 22 0.693733
9 23 0.728824
9 24 0.763285
9 25 0.796919
9 26 0.829527
9 27 0.860906
9 28 0.890858
9 29 0.919188
9 30 0.945709
9 31 0.970247
9 32 0.992638
9 33 1.012738
9 34 1.030416
9 35 1.045560
9 36 1.058077
9 37 1.067889
9 38 1.074939
9 39 1.079185
9 40 1.080603
9 41 1.079185
9 42 1.074939
9 43 1.067889
9 44 1.058077
9 45 1.045560
9 46 1.030416
9 47 1.012738
9 48 0.992638
9 49 0.970247
9 50 0.945709
9 51 0.919188
9 52 0.890858
9 53 0.860906
9 54 0.829527
9 55 0.796919
9 56 0.763285
9 57 0.728824
9 58 0.693733
9 59 0.658202
9 60 0.622411
9 61 0.586531
9 62 0.550720
9 63 0.515122
9 64 0.479866
9 65 0.445066
9 66 0.410818
9 67 0.377201
9 68 0.344275
9 69 0.312080
9 70 0.280638
9 71 0.249952
9 72 0.220006
9 73 0.190766
9 74 0.162181
9 75 0.134187
9 76 0.106706
9 77 0.079648
9 78 0.052914
9 79 0.026402

10 1 0.028976
10 2 0.058084
10 3 0.087451
10 4 0.117202
10 5 0.147453
10 6 0.178310
10 7 0.209865
10 8 0.242199
10 9 0.275370
10 10 0.309422
10 11 0.344374
10 12 0.380227
10 13 0.416955
10 14 0.454513
10 15 0.492834
10 16 0.531828
10 17 0.571385
10 18 0.611376
10 19 0.651654
10 20 0.692053
10 21 0.732393
